Asset,Sector,Expected_Return,Previous_Position,Transaction_Cost,Market_Cap,Estimated_Volatility
ASSET_000,ENERGY,0.5895963173,1,0.0141923226,6.625272362,0.4727057998326749
ASSET_001,CONS,-0.3505488782,1,0.02994283198,4.533083617,0.5093314768800151
ASSET_002,HEALTH,0.7651140969,1,0.0254048048,5.646328397,0.4883969053520767
ASSET_003,CONS,0.3865594574,0,0.04463280661,35.34552993,0.2943749171669321
ASSET_004,CONS,0.006763524718,1,0.02903870924,3.108479074,0.5433271448775502
ASSET_005,FIN,-0.379385121,1,0.01443910098,3.599362196,0.5304382956544713
ASSET_006,HEALTH,0.4830564134,1,0.03537696581,3.444749462,0.5343431741708777
ASSET_007,HEALTH,-0.1522267252,0,0.04083122473,8.463424508,0.44804303219617153
ASSET_008,HEALTH,-0.4889696519,1,0.01011525007,1.608487908,0.5952049497771744
ASSET_009,CONS,0.023441674,0,0.04435826742,1.908733902,0.5827634733554278
ASSET_010,ENERGY,-0.03073285909,0,0.01744092,5.691906008,0.48761646310275847
ASSET_011,HEALTH,0.2333286393,1,0.03208277459,2.03852102,0.5777784194182605
ASSET_012,CONS,0.111857169,1,0.02663190003,2.211627546,0.5714510957014372
ASSET_013,FIN,0.800446386,1,0.03878615266,2.053881856,0.5772025645697274
ASSET_014,ENERGY,0.5491994707,1,0.02484646459,3.168911935,0.541659616357995
ASSET_015,FIN,0.1141855824,1,0.04479052707,15.35201148,0.38558662770499624
ASSET_016,ENERGY,-0.2535932901,1,0.03921985444,19.21532151,0.3613665326265315
ASSET_017,CONS,0.7943128632,1,0.03590852684,50.3501145,0.2549087901526465
ASSET_018,TECH,0.5927660622,1,0.04184962382,48.53872139,0.2590099069964385
ASSET_019,ENERGY,1.528005046,0,0.0401609214,16.2210975,0.37967299824047834
ASSET_020,FIN,0.3317430201,1,0.011437547,20.64922265,0.3535407347465461
ASSET_021,CONS,1.020885558,1,0.02578937415,8.42414587,0.44851800289665206
ASSET_022,ENERGY,0.4304081501,0,0.04723229189,12.42691708,0.4080937169067988
ASSET_023,TECH,0.2429617358,1,0.01502897076,51.60419916,0.2521533481170646
ASSET_024,TECH,-0.5549786411,1,0.03948386202,10.71037468,0.42371433936139546
ASSET_025,HEALTH,0.5607512312,1,0.04898367245,23.41176277,0.3398261461781711
ASSET_026,HEALTH,-0.2217099617,1,0.01208794516,2.902720473,0.5491944927959951
ASSET_027,FIN,-0.0566627027,1,0.03728775523,3.795291713,0.5256743376004913
ASSET_028,ENERGY,0.1782315988,1,0.02872616565,10.09529625,0.4298757314825888
ASSET_029,ENERGY,0.06234954488,1,0.03316701021,8.584271814,0.4465939727190434
ASSET_030,HEALTH,-0.5815333973,1,0.01341365346,3.975163235,0.5214691772273192
ASSET_031,ENERGY,-0.1978154961,1,0.01172027807,82.05400138,0.2
ASSET_032,ENERGY,0.6652922004,0,0.03667466642,8.781033434,0.444273284178071
ASSET_033,TECH,0.5388837048,0,0.04293237719,4.745870862,0.5050221032460922
ASSET_034,HEALTH,0.5492201296,1,0.0412806134,8.598767056,0.44642139130788144
ASSET_035,CONS,0.2868010318,1,0.03175222911,7.579344381,0.45924314100592273
ASSET_036,HEALTH,0.5311422568,1,0.01399467285,8.915599969,0.4427128778796111
ASSET_037,CONS,0.3205610813,1,0.03752177775,1.501227317,0.6000000000000001
ASSET_038,TECH,0.115897456,0,0.01967555534,26.89516946,0.324593545221333
ASSET_039,FIN,0.7823843228,0,0.04644274811,28.46938845,0.31832428320241735
ASSET_040,ENERGY,0.07712615629,1,0.04353061438,32.14705267,0.3048944786893201
ASSET_041,TECH,-0.1848338868,0,0.03837531868,10.2310965,0.4284865044207389
ASSET_042,ENERGY,0.8060861711,0,0.04795383823,14.33180309,0.392943402468667
ASSET_043,FIN,0.8167484023,0,0.01125687286,3.107358636,0.5433582922811222
ASSET_044,FIN,-0.5870776435,1,0.039448017,16.99466258,0.37465517305343665
ASSET_045,TECH,0.5189764716,1,0.02320971117,9.504712297,0.436122017213709
ASSET_046,FIN,-0.8222115109,0,0.04624263543,4.662693961,0.5066872989652691
ASSET_047,CONS,0.7347404431,1,0.02066700787,17.54457336,0.3712176039805757
ASSET_048,FIN,-0.2668814205,1,0.03899425997,18.23693688,0.36703169910130695
ASSET_049,ENERGY,0.5921040938,1,0.04510588079,7.850748171,0.4556865232918731
